,FPR,Mean Delay,Std Delay,Found Percent
0,0.0,,,0.0
1,0.008605072463768116,24.0,0.0,0.08333333333333333
2,0.021739130434782608,14.333333333333334,15.839472494022298,0.25
3,0.030344202898550724,7.2,18.787229705307805,0.4166666666666667
4,0.04121376811594203,-1.8333333333333333,19.55689704994691,0.5
5,0.051177536231884056,-3.1666666666666665,20.811989066134185,0.5
6,0.059782608695652176,-3.1666666666666665,20.811989066134185,0.5
7,0.06884057971014493,-3.3333333333333335,21.02115336723675,0.5
8,0.07789855072463768,-18.666666666666668,17.3749500398962,0.5
9,0.09375,-17.0,16.792855623746664,0.5833333333333334
10,0.09963768115942029,-14.625,17.050934725111112,0.6666666666666666
11,0.1118659420289855,-19.875,13.851331163465842,0.6666666666666666
12,0.12001811594202899,-19.875,13.851331163465842,0.6666666666666666
13,0.13134057971014493,-20.0,13.910427743243556,0.6666666666666666
14,0.1403985507246377,-19.88888888888889,13.118641905018169,0.75
15,0.15217391304347827,-20.333333333333332,13.21615173439934,0.75
16,0.16304347826086957,-22.444444444444443,11.176474410426286,0.75
17,0.17119565217391305,-22.666666666666668,10.842303978193728,0.75
18,0.18206521739130435,-23.11111111111111,11.009535709702288,0.75
19,0.192481884057971,-24.333333333333332,9.820613241770824,0.75
20,0.20199275362318841,-27.11111111111111,5.4251358292149785,0.75
21,0.21195652173913043,-27.11111111111111,5.4251358292149785,0.75
22,0.2223731884057971,-28.7,2.1,0.8333333333333334
23,0.23324275362318841,-28.7,2.1,0.8333333333333334
24,0.24230072463768115,-28.8,2.1354156504062622,0.8333333333333334
25,0.25226449275362317,-28.8,2.1354156504062622,0.8333333333333334
26,0.26132246376811596,-28.8,2.1354156504062622,0.8333333333333334
27,0.2717391304347826,-28.8,2.1354156504062622,0.8333333333333334
28,0.28306159420289856,-28.8,2.1354156504062622,0.8333333333333334
29,0.29347826086956524,-28.8,2.1354156504062622,0.8333333333333334
30,0.30117753623188404,-28.9,2.1656407827707715,0.8333333333333334
31,0.3138586956521739,-28.9,2.1656407827707715,0.8333333333333334
32,0.3233695652173913,-29.5,0.9219544457292888,0.8333333333333334
33,0.333786231884058,-29.5,0.9219544457292888,0.8333333333333334
34,0.3451086956521739,-29.5,0.9219544457292888,0.8333333333333334
35,0.353713768115942,-29.5,0.9219544457292888,0.8333333333333334
36,0.3632246376811594,-25.0,14.212670403551895,1.0
37,0.3736413043478261,-28.75,2.0463381929681126,1.0
38,0.3822463768115942,-28.75,2.0463381929681126,1.0
39,0.3958333333333333,-28.75,2.0463381929681126,1.0
40,0.4017210144927536,-28.75,2.0463381929681126,1.0
41,0.4148550724637681,-29.0,2.0,1.0
42,0.42346014492753625,-29.0,2.0,1.0
43,0.43568840579710144,-29.0,2.0,1.0
44,0.4420289855072464,-29.083333333333332,2.0190069065976193,1.0
45,0.45063405797101447,-29.083333333333332,2.0190069065976193,1.0
46,0.46648550724637683,-29.083333333333332,2.0190069065976193,1.0
47,0.4759963768115942,-29.083333333333332,2.0190069065976193,1.0
48,0.485054347826087,-29.166666666666668,1.950783318453271,1.0
49,0.4954710144927536,-29.166666666666668,1.950783318453271,1.0
50,0.5031702898550725,-29.166666666666668,1.950783318453271,1.0
51,0.5140398550724637,-29.666666666666668,0.6236095644623236,1.0
52,0.5249094202898551,-29.666666666666668,0.6236095644623236,1.0
53,0.5339673913043478,-29.666666666666668,0.6236095644623236,1.0
54,0.5439311594202898,-29.75,0.5951190357119042,1.0
55,0.5543478260869565,-29.75,0.5951190357119042,1.0
56,0.5661231884057971,-29.75,0.5951190357119042,1.0
57,0.5751811594202898,-29.75,0.5951190357119042,1.0
58,0.5855978260869565,-29.75,0.5951190357119042,1.0
59,0.5955615942028986,-29.916666666666668,0.2763853991962833,1.0
60,0.6064311594202898,-29.916666666666668,0.2763853991962833,1.0
61,0.6159420289855072,-29.916666666666668,0.2763853991962833,1.0
62,0.6254528985507246,-29.916666666666668,0.2763853991962833,1.0
63,0.6367753623188406,-30.0,0.0,1.0
64,0.6471920289855072,-30.0,0.0,1.0
65,0.6557971014492754,-30.0,0.0,1.0
66,0.6680253623188406,-30.0,0.0,1.0
67,0.6757246376811594,-30.0,0.0,1.0
68,0.686141304347826,-30.0,0.0,1.0
69,0.6933876811594203,-30.0,0.0,1.0
70,0.708786231884058,-30.0,0.0,1.0
71,0.7169384057971014,-30.0,0.0,1.0
72,0.7327898550724637,-30.0,0.0,1.0
73,0.7327898550724637,-30.0,0.0,1.0
74,0.7454710144927537,-30.0,0.0,1.0
75,0.7635869565217391,-30.0,0.0,1.0
76,0.7635869565217391,-30.0,0.0,1.0
77,0.7817028985507246,-30.0,0.0,1.0
78,0.7817028985507246,-30.0,0.0,1.0
79,0.7980072463768116,-30.0,0.0,1.0
80,0.813858695652174,-30.0,0.0,1.0
81,0.813858695652174,-30.0,0.0,1.0
82,0.8319746376811594,-30.0,0.0,1.0
83,0.8319746376811594,-30.0,0.0,1.0
84,0.8491847826086957,-30.0,0.0,1.0
85,0.8618659420289855,-30.0,0.0,1.0
86,0.8618659420289855,-30.0,0.0,1.0
87,0.8781702898550725,-30.0,0.0,1.0
88,0.896286231884058,-30.0,0.0,1.0
89,0.896286231884058,-30.0,0.0,1.0
90,0.9107789855072463,-30.0,0.0,1.0
91,0.9107789855072463,-30.0,0.0,1.0
92,0.9284420289855072,-30.0,0.0,1.0
93,0.9447463768115942,-30.0,0.0,1.0
94,0.9447463768115942,-30.0,0.0,1.0
95,0.9569746376811594,-30.0,0.0,1.0
